id,workload,iteration,metric,value,units
orig_1,idle,1,execution_time,120.029678106,seconds
orig_1,idle,1,sched_cas_attempts,1,
orig_1,idle,1,sched_fbt_attempts,943,
orig_1,idle,1,sched_fbt_count,943,
orig_1,idle,1,sched_fbt_no_cpu,0,
orig_1,idle,1,sched_fbt_no_sd,0,
orig_1,idle,1,sched_fbt_pref_idle,0,
orig_1,idle,1,sched_secb_attempts,943,
orig_1,idle,1,sched_secb_count,274,
orig_1,idle,1,sched_secb_idle_bt,0,
orig_1,idle,1,sched_secb_insuff_cap,6,
orig_1,idle,1,sched_secb_no_nrg_sav,645,
orig_1,idle,1,sched_secb_nrg_sav,18,
orig_1,idle,1,sched_secb_sync,0,
orig_1,idle,1,sched_sis_attempts,222,
orig_1,idle,1,sched_sis_cache_affine,82,
orig_1,idle,1,sched_sis_count,38,
orig_1,idle,1,sched_sis_idle,102,
orig_1,idle,1,sched_sis_idle_cpu,36,
orig_1,idle,1,sched_sis_suff_cap,0,
orig_1,idle,1,sched_tob,670,
orig_1,idle,1,sched_tol,517,
orig_1,idle,1,Energy,499.34469679,J
orig_1,idle,1,Power,4163.204,mW (avg)
orig_bg_cpuset_1,idle,1,execution_time,120.029430866,seconds
orig_bg_cpuset_1,idle,1,sched_cas_attempts,85,
orig_bg_cpuset_1,idle,1,sched_fbt_attempts,851,
orig_bg_cpuset_1,idle,1,sched_fbt_count,851,
orig_bg_cpuset_1,idle,1,sched_fbt_no_cpu,0,
orig_bg_cpuset_1,idle,1,sched_fbt_no_sd,0,
orig_bg_cpuset_1,idle,1,sched_fbt_pref_idle,0,
orig_bg_cpuset_1,idle,1,sched_secb_attempts,851,
orig_bg_cpuset_1,idle,1,sched_secb_count,243,
orig_bg_cpuset_1,idle,1,sched_secb_idle_bt,0,
orig_bg_cpuset_1,idle,1,sched_secb_insuff_cap,3,
orig_bg_cpuset_1,idle,1,sched_secb_no_nrg_sav,587,
orig_bg_cpuset_1,idle,1,sched_secb_nrg_sav,18,
orig_bg_cpuset_1,idle,1,sched_secb_sync,0,
orig_bg_cpuset_1,idle,1,sched_sis_attempts,204,
orig_bg_cpuset_1,idle,1,sched_sis_cache_affine,99,
orig_bg_cpuset_1,idle,1,sched_sis_count,15,
orig_bg_cpuset_1,idle,1,sched_sis_idle,90,
orig_bg_cpuset_1,idle,1,sched_sis_idle_cpu,15,
orig_bg_cpuset_1,idle,1,sched_sis_suff_cap,0,
orig_bg_cpuset_1,idle,1,sched_tob,495,
orig_bg_cpuset_1,idle,1,sched_tol,667,
orig_bg_cpuset_1,idle,1,Energy,496.309754406,J
orig_bg_cpuset_1,idle,1,Power,4137.904,mW (avg)
orig_bg_cpuset_pi_1,idle,1,execution_time,120.038702011,seconds
orig_bg_cpuset_pi_1,idle,1,sched_cas_attempts,0,
orig_bg_cpuset_pi_1,idle,1,sched_fbt_attempts,1061,
orig_bg_cpuset_pi_1,idle,1,sched_fbt_count,858,
orig_bg_cpuset_pi_1,idle,1,sched_fbt_no_cpu,0,
orig_bg_cpuset_pi_1,idle,1,sched_fbt_no_sd,0,
orig_bg_cpuset_pi_1,idle,1,sched_fbt_pref_idle,203,
orig_bg_cpuset_pi_1,idle,1,sched_secb_attempts,1061,
orig_bg_cpuset_pi_1,idle,1,sched_secb_count,196,
orig_bg_cpuset_pi_1,idle,1,sched_secb_idle_bt,203,
orig_bg_cpuset_pi_1,idle,1,sched_secb_insuff_cap,4,
orig_bg_cpuset_pi_1,idle,1,sched_secb_no_nrg_sav,644,
orig_bg_cpuset_pi_1,idle,1,sched_secb_nrg_sav,14,
orig_bg_cpuset_pi_1,idle,1,sched_secb_sync,0,
orig_bg_cpuset_pi_1,idle,1,sched_sis_attempts,163,
orig_bg_cpuset_pi_1,idle,1,sched_sis_cache_affine,15,
orig_bg_cpuset_pi_1,idle,1,sched_sis_count,26,
orig_bg_cpuset_pi_1,idle,1,sched_sis_idle,122,
orig_bg_cpuset_pi_1,idle,1,sched_sis_idle_cpu,23,
orig_bg_cpuset_pi_1,idle,1,sched_sis_suff_cap,0,
orig_bg_cpuset_pi_1,idle,1,sched_tob,617,
